name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Ewan Stevenson,https://www.shutterstock.com/image-photo/profile-picture-smiling-successful-young-260nw-2040223583.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Human Resource,O-6076,O-6067,
Arnold POK,https://images.unsplash.com/profile-1494048768229-78000599369d?ixlib=rb-4.0.3&crop=faces&fit=crop&w=128&h=128,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Account Payable,O-6077,O-6068,
Heidi West,https://media.istockphoto.com/id/1300972573/photo/pleasant-young-indian-woman-freelancer-consult-client-via-video-call.jpg?b=1&s=612x612&w=0&k=20&c=gApYcn6GubvJA-YoMO00KZAShv66MHEwrsAbcmaq_cQ=,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Credit + Collection,O-6078,O-6068,
Sumaya Mejia,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Accounting,O-6079,O-6068,
Chris Fuller,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Audit,O-6080,O-6068,
Johnathan Woodward,https://www.shutterstock.com/image-photo/close-portrait-smiling-30s-caucasian-260nw-2246095709.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Production Manager,O-6081,O-6069,
Alec Gaines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXP6JTyhblFrytdK28KKGKtCcSp0kHVnhGEA&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Production Staff,O-6082,O-6069,
Daisie Chaney,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-zXs_zNlwyymyremukst0AJcI5T643kahiA&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Wholesale/Reseller Team,O-6083,O-6070,
Sean Mathis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt1Fe6aOjhTMDu8XwS9aETJS1koKGvW63iNw&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Printing Press Team,O-6084,O-6070,
Amber Morse,https://images.unsplash.com/profile-fb-1527368999-01bec71421e9.jpg?ixlib=rb-4.0.3&crop=faces&fit=crop&w=128&h=128,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Large Corp Team,O-6085,O-6070,
Autumn Hale,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4ZqpHqhizXiLwrQhA6QcqA6E48Dd5j7cQxw&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,MSME Team,O-6086,O-6070,
Josie David,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGEDMJhXYyfvKjmJMy9sINFspVtsLClMqEcg&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Government Team,O-6087,O-6070,
Mason Ballard,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Marketing Officer,O-6088,O-6071,
Eugene Baird,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head Buyer,O-6089,O-6072,
Safaa Clark,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Assistant Buyer,O-6090,O-6072,
Diana Knight,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Core Projects Head,O-6091,O-6073,
Amie Stevens,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Core Projects Staff,O-6092,O-6073,
Kelly Hartman,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Production,O-6093,O-6073,
Ebony Lozano,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Production,O-6094,O-6073,
Lexie Patel,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Store Area Manager,O-6095,O-6074,
Lyla Gay,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Store Manager,O-6096,O-6074,
Mohsin Thompson,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Store Crew,O-6097,O-6074,
 Leverling Janet,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Warehouse Manager,O-6098,O-6075,
Fuller Andrew,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Warehouse Area Head,O-6099,O-6075,
Peacock Margaret,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Warehouse Area Crew,O-6100,O-6075,
Buchanan Steven,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Delivery Crew,O-6101,O-6075,
Suyama Michael,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Muscle Crew,O-6102,O-6075,
King Robert,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Training + Dev Officer,O-6103,O-6076,
West Adam,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Accounts payable Head,O-6104,O-6077,
Charlotte Cooper,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,C & C Head,O-6105,O-6078,
Yoshi Nagase,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,C & C  Staff,O-6106,O-6078,
 Leverling Janet,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Payroll + Gov Compliance,O-6107,O-6079,
Fuller Andrew,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Cash Auditor,O-6108,O-6080,
Peacock Margaret,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Inventory Auditor,O-6109,O-6080,
